Latitude (decimal degrees):	40.439
Longitude (decimal degrees):	-3.732
Elevation (m):	617
Radiation database:	PVGIS-SARAH


Slope: 32 deg. (optimum)
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20160101:0010,0.0,0.0,6.27,1.6,0.0
20160101:0110,0.0,0.0,6.75,1.62,0.0
20160101:0210,0.0,0.0,7.22,1.64,0.0
20160101:0310,0.0,0.0,7.7,1.66,0.0
20160101:0410,0.0,0.0,7.68,2.08,0.0
20160101:0510,0.0,0.0,7.65,2.51,0.0
20160101:0610,0.0,0.0,7.63,2.94,0.0
20160101:0710,0.0,0.0,8.13,3.27,0.0
20160101:0810,79.56,4.3,8.63,3.61,0.0
20160101:0910,162.49,12.94,9.14,3.94,0.0
20160101:1010,68.29,19.9,9.95,4.33,0.0
20160101:1110,1101.09,24.6,10.76,4.71,0.0
20160101:1210,1484.24,26.52,11.58,5.09,0.0
20160101:1310,610.31,25.41,11.78,5.58,0.0
20160101:1410,168.53,21.42,11.98,6.07,0.0
20160101:1510,67.56,15.01,12.18,6.57,0.0
20160101:1610,0.0,0.0,11.87,6.72,0.0
20160101:1710,0.0,0.0,11.56,6.88,0.0
20160101:1810,0.0,0.0,11.25,7.03,0.0
20160101:1910,0.0,0.0,11.26,7.08,0.0
20160101:2010,0.0,0.0,11.28,7.12,0.0
20160101:2110,0.0,0.0,11.29,7.16,0.0
20160101:2210,0.0,0.0,11.03,6.61,0.0
20160101:2310,0.0,0.0,10.77,6.06,0.0
20160102:0010,0.0,0.0,10.51,5.52,0.0
20160102:0110,0.0,0.0,9.61,4.58,0.0
20160102:0210,0.0,0.0,8.71,3.64,0.0
20160102:0310,0.0,0.0,7.81,2.7,0.0
20160102:0410,0.0,0.0,7.05,2.63,0.0
20160102:0510,0.0,0.0,6.3,2.57,0.0
20160102:0610,0.0,0.0,5.54,2.5,0.0
20160102:0710,0.0,0.0,5.72,2.65,0.0
20160102:0810,145.43,4.3,5.89,2.81,0.0
20160102:0910,226.77,12.96,6.07,2.97,0.0
20160102:1010,833.43,19.93,7.02,3.37,0.0
20160102:1110,409.23,24.66,7.97,3.78,0.0
20160102:1210,667.66,26.61,8.92,4.19,0.0
20160102:1310,381.65,25.52,9.42,4.01,0.0
20160102:1410,464.08,21.54,9.92,3.83,0.0
20160102:1510,215.55,15.14,10.43,3.66,0.0
20160102:1610,270.47,6.91,9.24,2.99,0.0
20160102:1710,0.0,0.0,8.06,2.32,0.0
20160102:1810,0.0,0.0,6.87,1.66,0.0
20160102:1910,0.0,0.0,5.91,1.78,0.0
20160102:2010,0.0,0.0,4.96,1.9,0.0
20160102:2110,0.0,0.0,4.0,2.03,0.0
20160102:2210,0.0,0.0,3.78,2.22,0.0
20160102:2310,0.0,0.0,3.56,2.4,0.0
20160103:0010,0.0,0.0,3.34,2.59,0.0
20160103:0110,0.0,0.0,3.57,2.77,0.0
20160103:0210,0.0,0.0,3.79,2.95,0.0
20160103:0310,0.0,0.0,4.02,3.13,0.0
20160103:0410,0.0,0.0,4.19,3.47,0.0
