-1,centre,time_extract,num_occupation,num_students,num_staff
0,FAC. INFORMATICA,2018-01-01 1:00,0,0,0
1,FAC. INFORMATICA,2018-01-01 2:00,3,3,0
2,FAC. INFORMATICA,2018-01-01 3:00,3,3,0
3,FAC. INFORMATICA,2018-01-01 4:00,5,3,2
4,FAC. INFORMATICA,2018-01-01 5:00,6,3,3
5,FAC. INFORMATICA,2018-01-01 6:00,3,3,0
6,FAC. INFORMATICA,2018-01-01 7:00,0,0,0
7,FAC. INFORMATICA,2018-01-01 8:00,0,0,0
8,FAC. INFORMATICA,2018-01-01 9:00,1,1,0
9,FAC. INFORMATICA,2018-01-01 10:00,4,4,0
10,FAC. INFORMATICA,2018-01-01 11:00,1,1,0
11,FAC. INFORMATICA,2018-01-01 12:00,3,3,0
12,FAC. INFORMATICA,2018-01-01 13:00,6,3,3
13,FAC. INFORMATICA,2018-01-01 14:00,5,1,4
14,FAC. INFORMATICA,2018-01-01 15:00,1,1,0
15,FAC. INFORMATICA,2018-01-01 16:00,5,2,3
16,FAC. INFORMATICA,2018-01-01 17:00,2,2,0
17,FAC. INFORMATICA,2018-01-01 18:00,1,0,1
18,FAC. INFORMATICA,2018-01-01 19:00,3,1,2
19,FAC. INFORMATICA,2018-01-01 20:00,0,0,0
20,FAC. INFORMATICA,2018-01-01 21:00,2,2,0
21,FAC. INFORMATICA,2018-01-01 22:00,4,0,4
22,FAC. INFORMATICA,2018-01-01 23:00,6,3,3
23,FAC. INFORMATICA,2018-01-02 0:00,0,0,0
24,FAC. INFORMATICA,2018-01-02 1:00,1,1,0
25,FAC. INFORMATICA,2018-01-02 2:00,3,2,1
26,FAC. INFORMATICA,2018-01-02 3:00,2,1,1
27,FAC. INFORMATICA,2018-01-02 4:00,1,1,0
28,FAC. INFORMATICA,2018-01-02 5:00,1,0,1
29,FAC. INFORMATICA,2018-01-02 6:00,0,0,0
30,FAC. INFORMATICA,2018-01-02 7:00,6,4,2
31,FAC. INFORMATICA,2018-01-02 8:00,2,1,1
32,FAC. INFORMATICA,2018-01-02 9:00,1,1,0
33,FAC. INFORMATICA,2018-01-02 10:00,1,1,0
34,FAC. INFORMATICA,2018-01-02 11:00,2,1,1
35,FAC. INFORMATICA,2018-01-02 12:00,1,1,0
36,FAC. INFORMATICA,2018-01-02 13:00,1,0,1
37,FAC. INFORMATICA,2018-01-02 14:00,3,3,0
38,FAC. INFORMATICA,2018-01-02 15:00,2,1,1
39,FAC. INFORMATICA,2018-01-02 16:00,3,2,1
40,FAC. INFORMATICA,2018-01-02 17:00,0,0,0
41,FAC. INFORMATICA,2018-01-02 18:00,2,1,1
42,FAC. INFORMATICA,2018-01-02 19:00,6,5,1
43,FAC. INFORMATICA,2018-01-02 20:00,4,0,4
44,FAC. INFORMATICA,2018-01-02 21:00,3,2,1
45,FAC. INFORMATICA,2018-01-02 22:00,2,2,0
46,FAC. INFORMATICA,2018-01-02 23:00,2,2,0
47,FAC. INFORMATICA,2018-01-03 0:00,5,3,2
48,FAC. INFORMATICA,2018-01-03 1:00,3,3,0
49,FAC. INFORMATICA,2018-01-03 2:00,2,1,1
50,FAC. INFORMATICA,2018-01-03 3:00,1,1,0
51,FAC. INFORMATICA,2018-01-03 4:00,3,1,2
52,FAC. INFORMATICA,2018-01-03 5:00,1,0,1
53,FAC. INFORMATICA,2018-01-03 6:00,1,1,0
54,FAC. INFORMATICA,2018-01-03 7:00,3,3,0
55,FAC. INFORMATICA,2018-01-03 8:00,2,1,1
56,FAC. INFORMATICA,2018-01-03 9:00,2,2,0
57,FAC. INFORMATICA,2018-01-03 10:00,0,0,0
58,FAC. INFORMATICA,2018-01-03 11:00,1,1,0
59,FAC. INFORMATICA,2018-01-03 12:00,3,2,1
60,FAC. INFORMATICA,2018-01-03 13:00,3,0,3
61,FAC. INFORMATICA,2018-01-03 14:00,1,1,0
62,FAC. INFORMATICA,2018-01-03 15:00,3,3,0
63,FAC. INFORMATICA,2018-01-03 16:00,2,0,2
64,FAC. INFORMATICA,2018-01-03 17:00,2,2,0
65,FAC. INFORMATICA,2018-01-03 18:00,1,0,1
66,FAC. INFORMATICA,2018-01-03 19:00,3,3,0
67,FAC. INFORMATICA,2018-01-03 20:00,5,2,3
68,FAC. INFORMATICA,2018-01-03 21:00,2,2,0
69,FAC. INFORMATICA,2018-01-03 22:00,2,1,1
70,FAC. INFORMATICA,2018-01-03 23:00,1,1,0
71,FAC. INFORMATICA,2018-01-04 0:00,0,0,0
72,FAC. INFORMATICA,2018-01-04 1:00,5,4,1
73,FAC. INFORMATICA,2018-01-04 2:00,4,1,3
74,FAC. INFORMATICA,2018-01-04 3:00,1,1,0
75,FAC. INFORMATICA,2018-01-04 4:00,3,3,0
76,FAC. INFORMATICA,2018-01-04 5:00,2,2,0
77,FAC. INFORMATICA,2018-01-04 6:00,2,1,1
