index,centre,time_extract,consume,cost,num_occupation,num_students,num_staff,today_consume,today_occupation,today_person,yesteday_consume,yesterday_occupation,yesterday_person
0,AP ARQ. LOPEZ OTERO,2018-01-01 1:00,10,618.58,0,0,0,10,0,"",9,-1,""
1,AP ARQ. LOPEZ OTERO,2018-01-01 2:00,10,618.58,3,3,0,20,3,3.3333333333333335,9,2,2.9950394090118126
2,AP ARQ. LOPEZ OTERO,2018-01-01 3:00,10,618.58,3,3,0,30,6,3.3333333333333335,9,2,2.9950394090118126
3,AP ARQ. LOPEZ OTERO,2018-01-01 4:00,10,618.58,5,3,2,40,11,2.0,9,4,1.6617060756784792
4,AP ARQ. LOPEZ OTERO,2018-01-01 5:00,9,618.58,6,3,3,49,17,1.5,8,5,1.1617060756784792
5,AP ARQ. LOPEZ OTERO,2018-01-01 6:00,9,618.58,3,3,0,58,20,3.0,8,2,2.661706075678479
6,AP ARQ. LOPEZ OTERO,2018-01-01 7:00,8,618.58,0,0,0,66,20,"",7,-1,""
7,AP ARQ. LOPEZ OTERO,2018-01-01 8:00,8,618.58,0,0,0,74,20,"",7,-1,""
8,AP ARQ. LOPEZ OTERO,2018-01-01 9:00,8,618.58,1,1,0,82,21,8.0,7,0,7.661706075678479
9,AP ARQ. LOPEZ OTERO,2018-01-01 10:00,8,618.58,4,4,0,90,25,2.0,7,3,1.6617060756784792
10,AP ARQ. LOPEZ OTERO,2018-01-01 11:00,9,618.58,1,1,0,99,26,9.0,8,0,8.66170607567848
11,AP ARQ. LOPEZ OTERO,2018-01-01 12:00,8,618.58,3,3,0,107,29,2.6666666666666665,7,2,2.3283727423451457
12,AP ARQ. LOPEZ OTERO,2018-01-01 13:00,8,618.58,6,3,3,115,35,1.3333333333333333,7,5,0.9950394090118124
13,AP ARQ. LOPEZ OTERO,2018-01-01 14:00,8,618.58,5,1,4,123,40,1.6,7,4,1.2617060756784793
14,AP ARQ. LOPEZ OTERO,2018-01-01 15:00,9,618.58,1,1,0,132,41,9.0,8,0,8.66170607567848
15,AP ARQ. LOPEZ OTERO,2018-01-01 16:00,8,618.58,5,2,3,140,46,1.6,7,4,1.2617060756784793
16,AP ARQ. LOPEZ OTERO,2018-01-01 17:00,8,618.58,2,2,0,148,48,4.0,7,1,3.661706075678479
17,AP ARQ. LOPEZ OTERO,2018-01-01 18:00,8,618.58,1,0,1,156,49,8.0,7,0,7.661706075678479
18,AP ARQ. LOPEZ OTERO,2018-01-01 19:00,3,618.58,3,1,2,159,52,1.0,2,2,0.6617060756784792
19,AP ARQ. LOPEZ OTERO,2018-01-01 20:00,3,618.58,0,0,0,162,52,"",2,-1,""
20,AP ARQ. LOPEZ OTERO,2018-01-01 21:00,3,618.58,2,2,0,165,54,1.5,2,1,1.1617060756784792
21,AP ARQ. LOPEZ OTERO,2018-01-01 22:00,3,618.58,4,0,4,168,58,0.75,2,3,0.41170607567847917
22,AP ARQ. LOPEZ OTERO,2018-01-01 23:00,2,618.58,6,3,3,170,64,0.3333333333333333,1,5,-0.004960590988187519
23,AP ARQ. LOPEZ OTERO,2018-01-02 0:00,3,618.58,0,0,0,173,64,"",2,-1,""
24,AP ARQ. LOPEZ OTERO,2018-01-02 1:00,9,618.58,1,1,0,182,65,9.0,8,0,8.66170607567848
25,AP ARQ. LOPEZ OTERO,2018-01-02 2:00,9,618.58,3,2,1,191,68,3.0,8,2,2.661706075678479
26,AP ARQ. LOPEZ OTERO,2018-01-02 3:00,8,618.58,2,1,1,199,70,4.0,7,1,3.661706075678479
27,AP ARQ. LOPEZ OTERO,2018-01-02 4:00,8,618.58,1,1,0,207,71,8.0,7,0,7.661706075678479
28,AP ARQ. LOPEZ OTERO,2018-01-02 5:00,9,618.58,1,0,1,216,72,9.0,8,0,8.66170607567848
29,AP ARQ. LOPEZ OTERO,2018-01-02 6:00,9,618.58,0,0,0,225,72,"",8,-1,""
30,AP ARQ. LOPEZ OTERO,2018-01-02 7:00,8,618.58,6,4,2,233,78,1.3333333333333333,7,5,0.9950394090118124
