-1,centro,id,fecha,consumo,reactiva,co2,potenciamax,potenciaact,tarifa,coste
0,FAC. INFORMATICA,78922,2018-01-01 01:00,10,0,0,10,10,3.1A,618.58
1,FAC. INFORMATICA,78922,2018-01-01 02:00,10,0,0,10,10,3.1A,618.58
2,FAC. INFORMATICA,78922,2018-01-01 03:00,10,0,0,10,10,3.1A,618.58
3,FAC. INFORMATICA,78922,2018-01-01 04:00,10,0,0,10,10,3.1A,618.58
4,FAC. INFORMATICA,78922,2018-01-01 05:00,9,0,0,9,9,3.1A,618.58
5,FAC. INFORMATICA,78922,2018-01-01 06:00,9,0,0,9,9,3.1A,618.58
6,FAC. INFORMATICA,78922,2018-01-01 07:00,8,0,0,8,8,3.1A,618.58
7,FAC. INFORMATICA,78922,2018-01-01 08:00,8,0,0,8,8,3.1A,618.58
8,FAC. INFORMATICA,78922,2018-01-01 09:00,8,0,0,8,8,3.1A,618.58
9,FAC. INFORMATICA,78922,2018-01-01 10:00,8,0,0,8,8,3.1A,618.58
10,FAC. INFORMATICA,78922,2018-01-01 11:00,9,0,0,9,9,3.1A,618.58
11,FAC. INFORMATICA,78922,2018-01-01 12:00,8,0,0,8,8,3.1A,618.58
12,FAC. INFORMATICA,78922,2018-01-01 13:00,8,0,0,8,8,3.1A,618.58
13,FAC. INFORMATICA,78922,2018-01-01 14:00,8,0,0,8,8,3.1A,618.58
14,FAC. INFORMATICA,78922,2018-01-01 15:00,9,0,0,9,9,3.1A,618.58
15,FAC. INFORMATICA,78922,2018-01-01 16:00,8,0,0,8,8,3.1A,618.58
16,FAC. INFORMATICA,78922,2018-01-01 17:00,8,0,0,8,8,3.1A,618.58
17,FAC. INFORMATICA,78922,2018-01-01 18:00,8,0,0,8,8,3.1A,618.58
18,FAC. INFORMATICA,78922,2018-01-01 19:00,3,0,0,3,3,3.1A,618.58
19,FAC. INFORMATICA,78922,2018-01-01 20:00,3,0,0,3,3,3.1A,618.58
20,FAC. INFORMATICA,78922,2018-01-01 21:00,3,0,0,3,3,3.1A,618.58
21,FAC. INFORMATICA,78922,2018-01-01 22:00,3,0,0,3,3,3.1A,618.58
22,FAC. INFORMATICA,78922,2018-01-01 23:00,2,0,0,2,2,3.1A,618.58
23,FAC. INFORMATICA,78922,2018-01-02 00:00,3,0,0,3,3,3.1A,618.58
24,FAC. INFORMATICA,78922,2018-01-02 01:00,9,0,0,9,9,3.1A,618.58
25,FAC. INFORMATICA,78922,2018-01-02 02:00,9,0,0,9,9,3.1A,618.58
26,FAC. INFORMATICA,78922,2018-01-02 03:00,8,0,0,8,8,3.1A,618.58
27,FAC. INFORMATICA,78922,2018-01-02 04:00,8,0,0,8,8,3.1A,618.58
28,FAC. INFORMATICA,78922,2018-01-02 05:00,9,0,0,9,9,3.1A,618.58
29,FAC. INFORMATICA,78922,2018-01-02 06:00,9,0,0,9,9,3.1A,618.58
30,FAC. INFORMATICA,78922,2018-01-02 07:00,8,0,0,8,8,3.1A,618.58
