,centro,id,fecha,consumo,reactiva,co2,potenciamax,potenciaact,tarifa,coste
8759,FAC. INFORMATICA,78922,2019-01-01 00:00,4,0,0,4,4,3.1A,772.38
8760,FAC. INFORMATICA,78922,2019-01-01 01:00,11,0,0,11,11,3.1A,772.38
8761,FAC. INFORMATICA,78922,2019-01-01 02:00,11,0,0,11,11,3.1A,772.38
8762,FAC. INFORMATICA,78922,2019-01-01 03:00,11,0,0,11,11,3.1A,772.38
8763,FAC. INFORMATICA,78922,2019-01-01 04:00,10,0,0,10,10,3.1A,772.38
8764,FAC. INFORMATICA,78922,2019-01-01 05:00,11,0,0,11,11,3.1A,772.38
8765,FAC. INFORMATICA,78922,2019-01-01 06:00,11,0,0,11,11,3.1A,772.38
8766,FAC. INFORMATICA,78922,2019-01-01 07:00,10,0,0,10,10,3.1A,772.38
8767,FAC. INFORMATICA,78922,2019-01-01 08:00,10,0,0,10,10,3.1A,772.38
8768,FAC. INFORMATICA,78922,2019-01-01 09:00,10,0,0,10,10,3.1A,772.38
8769,FAC. INFORMATICA,78922,2019-01-01 10:00,10,0,0,10,10,3.1A,772.38
8770,FAC. INFORMATICA,78922,2019-01-01 11:00,11,0,0,11,11,3.1A,772.38
8771,FAC. INFORMATICA,78922,2019-01-01 12:00,10,0,0,10,10,3.1A,772.38
8772,FAC. INFORMATICA,78922,2019-01-01 13:00,9,0,0,9,9,3.1A,772.38
8773,FAC. INFORMATICA,78922,2019-01-01 14:00,9,0,0,9,9,3.1A,772.38
8774,FAC. INFORMATICA,78922,2019-01-01 15:00,9,0,0,9,9,3.1A,772.38
8775,FAC. INFORMATICA,78922,2019-01-01 16:00,9,0,0,9,9,3.1A,772.38
8776,FAC. INFORMATICA,78922,2019-01-01 17:00,9,0,0,9,9,3.1A,772.38
8777,FAC. INFORMATICA,78922,2019-01-01 18:00,9,0,0,9,9,3.1A,772.38
8778,FAC. INFORMATICA,78922,2019-01-01 19:00,5,0,0,5,5,3.1A,772.38
8779,FAC. INFORMATICA,78922,2019-01-01 20:00,5,0,0,5,5,3.1A,772.38
8780,FAC. INFORMATICA,78922,2019-01-01 21:00,5,0,0,5,5,3.1A,772.38
8781,FAC. INFORMATICA,78922,2019-01-01 22:00,5,0,0,5,5,3.1A,772.38
8782,FAC. INFORMATICA,78922,2019-01-01 23:00,5,0,0,5,5,3.1A,772.38
8783,FAC. INFORMATICA,78922,2019-01-02 00:00,5,0,0,5,5,3.1A,772.38
8784,FAC. INFORMATICA,78922,2019-01-02 01:00,10,0,0,10,10,3.1A,772.38
8785,FAC. INFORMATICA,78922,2019-01-02 02:00,9,0,0,9,9,3.1A,772.38
8786,FAC. INFORMATICA,78922,2019-01-02 03:00,10,0,0,10,10,3.1A,772.38
8787,FAC. INFORMATICA,78922,2019-01-02 04:00,9,0,0,9,9,3.1A,772.38
8788,FAC. INFORMATICA,78922,2019-01-02 05:00,10,0,0,10,10,3.1A,772.38
8789,FAC. INFORMATICA,78922,2019-01-02 06:00,9,0,0,9,9,3.1A,772.38
8790,FAC. INFORMATICA,78922,2019-01-02 07:00,9,0,0,9,9,3.1A,772.38
8791,FAC. INFORMATICA,78922,2019-01-02 08:00,9,0,0,9,9,3.1A,772.38
8792,FAC. INFORMATICA,78922,2019-01-02 09:00,5,0,0,5,5,3.1A,772.38
8793,FAC. INFORMATICA,78922,2019-01-02 10:00,5,0,0,5,5,3.1A,772.38
8794,FAC. INFORMATICA,78922,2019-01-02 11:00,5,0,0,5,5,3.1A,772.38
8795,FAC. INFORMATICA,78922,2019-01-02 12:00,5,0,0,5,5,3.1A,772.38
8796,FAC. INFORMATICA,78922,2019-01-02 13:00,5,0,0,5,5,3.1A,772.38
8797,FAC. INFORMATICA,78922,2019-01-02 14:00,5,0,0,5,5,3.1A,772.38
8798,FAC. INFORMATICA,78922,2019-01-02 15:00,5,0,0,5,5,3.1A,772.38
8799,FAC. INFORMATICA,78922,2019-01-02 16:00,5,0,0,5,5,3.1A,772.38
8800,FAC. INFORMATICA,78922,2019-01-02 17:00,5,0,0,5,5,3.1A,772.38
8801,FAC. INFORMATICA,78922,2019-01-02 18:00,9,0,0,9,9,3.1A,772.38
8802,FAC. INFORMATICA,78922,2019-01-02 19:00,9,0,0,9,9,3.1A,772.38
8803,FAC. INFORMATICA,78922,2019-01-02 20:00,9,0,0,9,9,3.1A,772.38
8804,FAC. INFORMATICA,78922,2019-01-02 21:00,9,0,0,9,9,3.1A,772.38
8805,FAC. INFORMATICA,78922,2019-01-02 22:00,8,0,0,8,8,3.1A,772.38
8806,FAC. INFORMATICA,78922,2019-01-02 23:00,8,0,0,8,8,3.1A,772.38
8807,FAC. INFORMATICA,78922,2019-01-03 00:00,5,0,0,5,5,3.1A,772.38
8808,FAC. INFORMATICA,78922,2019-01-03 01:00,9,0,0,9,9,3.1A,772.38
8809,FAC. INFORMATICA,78922,2019-01-03 02:00,9,0,0,9,9,3.1A,772.38
8810,FAC. INFORMATICA,78922,2019-01-03 03:00,9,0,0,9,9,3.1A,772.38
8811,FAC. INFORMATICA,78922,2019-01-03 04:00,9,0,0,9,9,3.1A,772.38
8812,FAC. INFORMATICA,78922,2019-01-03 05:00,9,0,0,9,9,3.1A,772.38
8813,FAC. INFORMATICA,78922,2019-01-03 06:00,9,0,0,9,9,3.1A,772.38
8814,FAC. INFORMATICA,78922,2019-01-03 07:00,9,0,0,9,9,3.1A,772.38
8815,FAC. INFORMATICA,78922,2019-01-03 08:00,9,0,0,9,9,3.1A,772.38
8816,FAC. INFORMATICA,78922,2019-01-03 09:00,5,0,0,5,5,3.1A,772.38
8817,FAC. INFORMATICA,78922,2019-01-03 10:00,5,0,0,5,5,3.1A,772.38
8818,FAC. INFORMATICA,78922,2019-01-03 11:00,5,0,0,5,5,3.1A,772.38
8819,FAC. INFORMATICA,78922,2019-01-03 12:00,5,0,0,5,5,3.1A,772.38
8820,FAC. INFORMATICA,78922,2019-01-03 13:00,5,0,0,5,5,3.1A,772.38
8821,FAC. INFORMATICA,78922,2019-01-03 14:00,5,0,0,5,5,3.1A,772.38
8822,FAC. INFORMATICA,78922,2019-01-03 15:00,5,0,0,5,5,3.1A,772.38
8823,FAC. INFORMATICA,78922,2019-01-03 16:00,5,0,0,5,5,3.1A,772.38
8824,FAC. INFORMATICA,78922,2019-01-03 17:00,5,0,0,5,5,3.1A,772.38
8825,FAC. INFORMATICA,78922,2019-01-03 18:00,8,0,0,8,8,3.1A,772.38
8826,FAC. INFORMATICA,78922,2019-01-03 19:00,8,0,0,8,8,3.1A,772.38
8827,FAC. INFORMATICA,78922,2019-01-03 20:00,9,0,0,9,9,3.1A,772.38
8828,FAC. INFORMATICA,78922,2019-01-03 21:00,10,0,0,10,10,3.1A,772.38
8829,FAC. INFORMATICA,78922,2019-01-03 22:00,9,0,0,9,9,3.1A,772.38
8830,FAC. INFORMATICA,78922,2019-01-03 23:00,10,0,0,10,10,3.1A,772.38
8831,FAC. INFORMATICA,78922,2019-01-04 00:00,5,0,0,5,5,3.1A,772.38
8832,FAC. INFORMATICA,78922,2019-01-04 01:00,9,0,0,9,9,3.1A,772.38
8833,FAC. INFORMATICA,78922,2019-01-04 02:00,9,0,0,9,9,3.1A,772.38
8834,FAC. INFORMATICA,78922,2019-01-04 03:00,9,0,0,9,9,3.1A,772.38
8835,FAC. INFORMATICA,78922,2019-01-04 04:00,9,0,0,9,9,3.1A,772.38
8836,FAC. INFORMATICA,78922,2019-01-04 05:00,9,0,0,9,9,3.1A,772.38
8837,FAC. INFORMATICA,78922,2019-01-04 06:00,9,0,0,9,9,3.1A,772.38
